Dish,Category,Make next,Make soon?,required pre-prepared ingredient?,Requires,Vegetable ingredients,Vegetable 1,Vegetable 2,Vegetable 3,Vegetable 4,Meat ingredients,Meat 1,Meat 2,Meat 3,Seafood ingredients,Seafood 1,Seafood 2,Seafood 3,Herbs,Herb 1,Herb 2,Herb 3,Herb 4,Pre-prepared ingredients,Pre-prepared ingredient 1,Pre-prepared ingredient 2,Pre-prepared ingredient 3,"Grains, tubers or pulses",Grain/tuber/pulse 1,Grain/tuber/pulse 2,Dairy ingredients,Dairy 1,Dairy 2,Other (non-storecupboard) ingredients,Other ingredient 1,Other ingredient 2,Other ingredient 3,Method and other info,Method,Cuisine,Tags,url 1,url 2,url 3,Book,Page number,Picture 1,Picture 2,Picture 3,Comments
Bo ssam,Meat dishes,,,FALSE,";Lettuce;Pork, shoulder;Oysters;",,Lettuce,,,,,"Pork, shoulder",,,,Oysters,,,,,,,,,,,,,,,,,,,,,,,"Rub 200g sugar and 140g salt into 4kg pork shoulder, chill overnight. Discard seasoning and juices, cook at 150C for 6 hours, baste regularly. Rest until ready, rub with 7 tbsp brown sugar and 1tbsp salt. Roast at 250C for 15 minutes. Serve with lettuce, rice, kimchi, oysters, ginger spring onion and ssam sauces.",Korean,Good for groups,,,,Momofuku,166,Recipes_Images/Bo ssam.Picture 1.022953.jpg,,,Use sous vide pulled pork for smaller quantities.
Braised pork with chestnuts,Meat dishes,01/10/2017,,FALSE,";Pork, collar;Coriander;Chestnuts;",,,,,,,"Pork, collar",,,,,,,,Coriander,,,,,,,,,,,,,,,Chestnuts,,,,"Brine pork belly, collar or similar (6% salt, 3% sugar overnight). Caramalise pork with oil-disolved sugar, sous vide with light, dark soy sauce, garlic power, white pepper, 5-spice (or fry whole spices) 12+ hours (57-60 degrees, lower for longer). Reduce liquid, braise chestnuts, slice pork and coat. Garnish with coriander, sambal belacan. Options: boiled eggs, tau kwa.
",Chinese,Multi-day preparation,http://www.foodcanon.com/2011/03/auntie-rubys-tau-yew-bak.html,,,,,,,,
Chicken fattee,One-dish meals,,,FALSE,";Aubergine;Chicken, whole;Parsley;Yoghurt;",,Aubergine,,,,,"Chicken, whole",,,,,,,,Parsley,,,,,,,,,,,,Yoghurt,,,,,,,"Roast chicken in hot oven with cloves and olive oil. Make gravy, take meat off the bone.
Fry plenty of sliced garlic in olive oil and reduce 2 cans drained tomatoes with cinnamon.
Wash and soak 300g basmati with salt. Cook with butter, half onion, cinnamon, chickpeas and stock.
Salt aubergine cubes, brown in olive oil.
Layer and garnish with parsley, yogurt, crisp bread and pine nuts.",Middle eastern,Good for groups,,,,,,Recipes_Images/Chicken fattee.Picture 1.025137.jpg,,,
Two-wine pork chop,Meat dishes,,,FALSE,";Pork, chop;",,,,,,,"Pork, chop",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brine chops. Mix tomato puree, equal parts red wine and masala. Flour and fry chops in olive oil, remove. Add fennel seeds and garlic, then deglaze and reduce sauce. Sous vide 57 for 2 hours.",Italian,,,,,The Essentials of Classic Italian Cooking,448,,,,
French toast,Breakfast dishes,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western,,,,,,,,,,
Kaya,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whisk
50g gula melacca
40g egg yolk (about 2 egg yolks)

Add 
100ml  coconut milk

cook at 82°C for 1 hour",Southeast Asian,,,,,,,,,,
Pizza,One-dish meals,,,FALSE,;Basil;Mozzarella;,,,,,,,,,,,,,,,Basil,,,,,,,,,,,,Mozzarella,,,,,,,"500g flour makes 2 large pizzas
90:10 bread:ww 
80% hydration with long autolyse
2.5% salt
15% leaven.
Shape and transfer directly to hot baking steel after bench rest. Bake up to 15 mins on max.",Italian,,http://modernistcuisine.com/recipes/neapolitan-pizza-dough/,,,,,,,,
72-hour short rib,Meat dishes,,,FALSE,;Carrots;Apple;Pear;Spring onion;,,Carrots,Apple,Pear,,,,,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Simmer marinade ingredients for 10 minutes, strain. Sous vide at 55C for 48 to 72 hours. Reduce/thicken sauce, diluted if too salty. Fry beef before and/or after.",Korean,,,,,Momofuku,273,Recipes_Images/72-hour short rib.Picture 1.010154.jpg,,,
Fried chicken,Meat dishes,,,FALSE,";Chicken, whole;Thyme;Parsley;Rosemary;Polenta;Tapioca starch;Buttermilk;",,,,,,,"Chicken, whole",,,,,,,,Thyme,Parsley,Rosemary,,,,,,,Polenta,Tapioca starch,,Buttermilk,,,,,,,"Ad hoc brine (divide by 5 for boneless pieces):
3.8l water (760ml)
250g salt (50g)
120g honey (25g)
12 bay leaves
1/2 cup garlic cloves, skin left on, smashed
2 tablespoons black peppercorns
15g (3 large) rosemary sprigs
15g (1 large bunch) thyme sprigs
55g (1 large bunch) flat leafed parsley sprigs
Grated zest and juice of 2 large lemons

boil with half the water, cool with remaining water, chill, brine whole chicken for 12 hours, boneless pieces for 6 hours.

Ad hoc flour coating:
420g all purpose flour
2 tablespoons garlic powder
2 tablespoons onion powder
2 teaspoons paprika
2 teaspoons cayenne
2 teaspoons salt
½ teaspoon freshly ground black pepper

dredge, coat in buttermilk, dredge, fry in peanut oil.
salt and rest (40 C oven on rack), garnish with quick-fried rosemary and thyme.

Clove Club buttermilk
Brine as for TK, then 24 hours in buttermilk.
Polenta crust (for 1kg chicken):
polenta 200g (100%)
tapioca starch 75g (38%)
rice flour 25g (12%)
Bring to room temperature. Dredge and fry 2 mins at 170C (for deboned thighs).

ayam goreng style (for 1 chicken)
rempah:
6"" old ginger
2"" galangal
 thumb  of turmeric

mix with:
2 tsp of salt
1 tsp sugar
2 tbsp corn starch
optional: chilli powder, ground coriander, fennel and cumin

let chicken sit in batter 30 mins - 1hr.",American,Claudia favourite,http://www.theguardian.com/lifeandstyle/2012/jan/22/young-turks-recipes,,,,,,,,"Try blended gingers?
http://www.foodcanon.com/2016/01/fried-chicken-with-ginger-floss-ayam.html"
Fried fish,Seafood dishes,,,FALSE,";Fish, white;",,,,,,,,,,,"Fish, white",,,,,,,,,,,,,,,,,,,,,,,"Season, deep dry in wok at 190°C. Good with tamarind sauce.",Asian,,,,,,,,,,
